id,Internship_title,Company,Location,Location_1,Duration(Months),Stipend_given(perMonth),Skills_required,Skills_required_1
314,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Natural Language Processing (NLP)
315,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Deep Learning
316,Content Writing (Data Science),Let The Data Confess,Work From Home,Work From Home,3,3000,"Python, SQL, Data Analytics, Machine Learning, Computer Vision, Data Science, Neural Networks, Natural Language Processing (NLP), Deep Learning, Artifical Intelligence",Artifical Intelligence
317,Research Analysis,Callify.ai,Mumbai,Mumbai,6,18000,"English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Spoken)
318,Research Analysis,Callify.ai,Mumbai,Mumbai,6,18000,"English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Written)
319,Data Science,FinsightAI Technologies Private Limited,Work From Home,Work From Home,2,6000-12000,"Python, Machine Learning, Data Science, Natural Language Processing (NLP)",Python
320,Data Science,FinsightAI Technologies Private Limited,Work From Home,Work From Home,2,6000-12000,"Python, Machine Learning, Data Science, Natural Language Processing (NLP)",Machine Learning
321,Data Science,FinsightAI Technologies Private Limited,Work From Home,Work From Home,2,6000-12000,"Python, Machine Learning, Data Science, Natural Language Processing (NLP)",Data Science
322,Data Science,FinsightAI Technologies Private Limited,Work From Home,Work From Home,2,6000-12000,"Python, Machine Learning, Data Science, Natural Language Processing (NLP)",Natural Language Processing (NLP)
323,Machine Learning,Learn With Leaders,Work From Home,Work From Home,6,5000,Not Found,nan
324,Data Visualization,Leadge Business Services Private Limited,Mumbai,Mumbai,6,10000,"Data Analytics, MS-Excel",Data Analytics
325,Data Visualization,Leadge Business Services Private Limited,Mumbai,Mumbai,6,10000,"Data Analytics, MS-Excel",MS-Excel
326,Data Engineering,Devendra S,Work From Home,Work From Home,6,1000,Not Found,nan
327,Business Analysis,Blackcoffer,Work From Home,Work From Home,6,5000-10000,Not Found,nan
328,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",Python
329,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",MySQL
330,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",Data Analytics
331,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",Machine Learning
332,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",Data Science
333,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",Power BI
334,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",Artifical Intelligence
335,Data Science,Blackcoffer,Work From Home,Work From Home,6,5000-10000,"Python, SQL, Data Analytics, Machine Learning, Data Science, Power BI, Artifical Intelligence, Elasticsearch",Elasticsearch
336,Data Science,LocoBuzz,Work From Home,Work From Home,3,10000,"Python, Machine Learning, Deep Learning",Python
337,Data Science,LocoBuzz,Work From Home,Work From Home,3,10000,"Python, Machine Learning, Deep Learning",Machine Learning
338,Data Science,LocoBuzz,Work From Home,Work From Home,3,10000,"Python, Machine Learning, Deep Learning",Deep Learning
339,Financial Analyst,PRM Fincon Services Private Limited,Kolkata,Kolkata,4,8000,"Accounting, MS-Excel",Accounting
340,Financial Analyst,PRM Fincon Services Private Limited,Kolkata,Kolkata,4,8000,"Accounting, MS-Excel",MS-Excel
341,Web Development,Consuma,Bangalore,Bangalore,1,12500,"Python, GitHub, REST API, Amazon Web Services (AWS), Flask",Python
342,Web Development,Consuma,Bangalore,Bangalore,1,12500,"Python, GitHub, REST API, Amazon Web Services (AWS), Flask",GitHub
343,Web Development,Consuma,Bangalore,Bangalore,1,12500,"Python, GitHub, REST API, Amazon Web Services (AWS), Flask",REST API
344,Web Development,Consuma,Bangalore,Bangalore,1,12500,"Python, GitHub, REST API, Amazon Web Services (AWS), Flask",Amazon Web Services (AWS)
345,Web Development,Consuma,Bangalore,Bangalore,1,12500,"Python, GitHub, REST API, Amazon Web Services (AWS), Flask",Flask
346,Machine Learning,KUKbit Software Lab,Pune,Pune,1,4000,"Python, Machine Learning, R Programming, Data Science, Deep Learning",Python
347,Machine Learning,KUKbit Software Lab,Pune,Pune,1,4000,"Python, Machine Learning, R Programming, Data Science, Deep Learning",Machine Learning
348,Machine Learning,KUKbit Software Lab,Pune,Pune,1,4000,"Python, Machine Learning, R Programming, Data Science, Deep Learning",R Programming
349,Machine Learning,KUKbit Software Lab,Pune,Pune,1,4000,"Python, Machine Learning, R Programming, Data Science, Deep Learning",Data Science
350,Machine Learning,KUKbit Software Lab,Pune,Pune,1,4000,"Python, Machine Learning, R Programming, Data Science, Deep Learning",Deep Learning
351,Data Analytics (Female),Instrovate Technologies,Work From Home,Work From Home,3,5000,English Proficiency (Spoken),English Proficiency (Spoken)
352,Academic Research Writing (People Analytics & Digital Disruption In HR),Aman Jain,Bangalore,Bangalore,2,2000,"MS-Word, SPSS, MS-Excel, English Proficiency (Written)",MS-Word
353,Academic Research Writing (People Analytics & Digital Disruption In HR),Aman Jain,Bangalore,Bangalore,2,2000,"MS-Word, SPSS, MS-Excel, English Proficiency (Written)",SPSS
354,Academic Research Writing (People Analytics & Digital Disruption In HR),Aman Jain,Bangalore,Bangalore,2,2000,"MS-Word, SPSS, MS-Excel, English Proficiency (Written)",MS-Excel
355,Academic Research Writing (People Analytics & Digital Disruption In HR),Aman Jain,Bangalore,Bangalore,2,2000,"MS-Word, SPSS, MS-Excel, English Proficiency (Written)",English Proficiency (Written)
356,Data Science,KUKbit Software Lab,Work From Home,Work From Home,1,5000,"Python, Machine Learning",Python
357,Data Science,KUKbit Software Lab,Work From Home,Work From Home,1,5000,"Python, Machine Learning",Machine Learning
358,Data Science,Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Python, Machine Learning, Artifical Intelligence",Python
359,Data Science,Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Python, Machine Learning, Artifical Intelligence",Machine Learning
360,Data Science,Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Python, Machine Learning, Artifical Intelligence",Artifical Intelligence
361,Product Development,Vitraya,Work From Home,Work From Home,2,5000-9000,"Data Analytics, Manual Testing, MS-Excel, English Proficiency (Written)",Data Analytics
362,Product Development,Vitraya,Work From Home,Work From Home,2,5000-9000,"Data Analytics, Manual Testing, MS-Excel, English Proficiency (Written)",Manual Testing
363,Product Development,Vitraya,Work From Home,Work From Home,2,5000-9000,"Data Analytics, Manual Testing, MS-Excel, English Proficiency (Written)",MS-Excel
364,Product Development,Vitraya,Work From Home,Work From Home,2,5000-9000,"Data Analytics, Manual Testing, MS-Excel, English Proficiency (Written)",English Proficiency (Written)
365,Convolution Neural Network,Code Karo Yaaro,Work From Home,Work From Home,4,,Machine Learning,Machine Learning
366,University Analysis,GREedge,Work From Home,Work From Home,6,20000,"English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Spoken)
367,University Analysis,GREedge,Work From Home,Work From Home,6,20000,"English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Written)
368,Machine Learning,Axiomtech Solutions,Pune,Pune,3,2000,"MATLAB, Mathematics, Machine Learning",MATLAB
369,Machine Learning,Axiomtech Solutions,Pune,Pune,3,2000,"MATLAB, Mathematics, Machine Learning",Mathematics
370,Machine Learning,Axiomtech Solutions,Pune,Pune,3,2000,"MATLAB, Mathematics, Machine Learning",Machine Learning
371,Business Analytics,Mr n Mrs Pet,Jaipur,Jaipur,6,10000,"Project Management, Rapid Prototyping, Power BI, Research and Analytics",Project Management
372,Business Analytics,Mr n Mrs Pet,Jaipur,Jaipur,6,10000,"Project Management, Rapid Prototyping, Power BI, Research and Analytics",Rapid Prototyping
373,Business Analytics,Mr n Mrs Pet,Jaipur,Jaipur,6,10000,"Project Management, Rapid Prototyping, Power BI, Research and Analytics",Power BI
374,Business Analytics,Mr n Mrs Pet,Jaipur,Jaipur,6,10000,"Project Management, Rapid Prototyping, Power BI, Research and Analytics",Research and Analytics
375,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",MS-Office
376,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",Data Analytics
377,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",Manual Testing
378,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",Audio Editing
379,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",Computer Vision
380,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",Database Testing
381,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",Software Testing
382,Data Annotation,Labellerr By Tensor Matics Private Limited,Work From Home,Work From Home,3,10000,"MS-Office, Data Analytics, Manual Testing, Audio Editing, Computer Vision, Database Testing, Software Testing, GUI Testing",GUI Testing
383,Data Analytics,Future Metrics,Work From Home,Work From Home,6,1000,Not Found,nan
384,Data Mining (Web Scraping/Web Crawling),Ignis Tech Solutions,Work From Home,Work From Home,2,5000,"Python, Django, REST API",Python
385,Data Mining (Web Scraping/Web Crawling),Ignis Tech Solutions,Work From Home,Work From Home,2,5000,"Python, Django, REST API",Django
386,Data Mining (Web Scraping/Web Crawling),Ignis Tech Solutions,Work From Home,Work From Home,2,5000,"Python, Django, REST API",REST API
387,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",Accounting
388,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",Financial Modeling
389,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",R Programming
390,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",Data Science
391,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",C++ Programming
392,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",English Proficiency (Spoken)
393,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",English Proficiency (Written)
394,FinTech & Big Data,Girl Power Talk,Work From Home,Work From Home,6,4000-8000,"Accounting, Financial Modeling, R Programming, Data Science, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Artifical Intelligence",Artifical Intelligence
395,Database Building/Management,Society For Health And Medical Technology,Work From Home,Work From Home,6,,Not Found,nan
396,Data Analytics,Bakerstreet Fintech Private Limited,Pune,Pune,6,6000,"HTML, JavaScript, Python, ReactJS",HTML
397,Data Analytics,Bakerstreet Fintech Private Limited,Pune,Pune,6,6000,"HTML, JavaScript, Python, ReactJS",JavaScript
398,Data Analytics,Bakerstreet Fintech Private Limited,Pune,Pune,6,6000,"HTML, JavaScript, Python, ReactJS",Python
399,Data Analytics,Bakerstreet Fintech Private Limited,Pune,Pune,6,6000,"HTML, JavaScript, Python, ReactJS",ReactJS
400,Research Analysis,Qualicentric LLP,Delhi,Delhi,3,10000-12000,Not Found,nan
401,Data Analytics,Agrim Wholsesale Private Limited,Gurgaon,Gurgaon,4,10000,"SQL, MS-Excel",MySQL
402,Data Analytics,Agrim Wholsesale Private Limited,Gurgaon,Gurgaon,4,10000,"SQL, MS-Excel",MS-Excel
403,Artificial Intelligence (AI),Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Neural Networks, Natural Language Processing (NLP)",Neural Networks
404,Artificial Intelligence (AI),Society For Health And Medical Technology,Work From Home,Work From Home,6,,"Neural Networks, Natural Language Processing (NLP)",Natural Language Processing (NLP)
405,Machine Learning,Spacejoy.com,Work From Home,Work From Home,6,25000,"Python, Data Analytics, Machine Learning, Image Processing, Computer Vision",Python
406,Machine Learning,Spacejoy.com,Work From Home,Work From Home,6,25000,"Python, Data Analytics, Machine Learning, Image Processing, Computer Vision",Data Analytics
407,Machine Learning,Spacejoy.com,Work From Home,Work From Home,6,25000,"Python, Data Analytics, Machine Learning, Image Processing, Computer Vision",Machine Learning
408,Machine Learning,Spacejoy.com,Work From Home,Work From Home,6,25000,"Python, Data Analytics, Machine Learning, Image Processing, Computer Vision",Image Processing
409,Machine Learning,Spacejoy.com,Work From Home,Work From Home,6,25000,"Python, Data Analytics, Machine Learning, Image Processing, Computer Vision",Computer Vision
410,Business Analytics,Scale Labs,Hyderabad,Hyderabad,6,5000,Not Found,nan
411,Business Analytics (Tableau),Artinci Artisanal Foods Private Limited,Work From Home,Work From Home,3,15000-25000,Tableau,Tableau
412,Data Analytics,Mentored Minds,Work From Home,Work From Home,2,2000,Not Found,nan
413,Data Science,CARscan,Work From Home,Work From Home,3,3000-5000,"Machine Learning, Computer Vision, Neural Networks, Deep Learning",Machine Learning
414,Data Science,CARscan,Work From Home,Work From Home,3,3000-5000,"Machine Learning, Computer Vision, Neural Networks, Deep Learning",Computer Vision
415,Data Science,CARscan,Work From Home,Work From Home,3,3000-5000,"Machine Learning, Computer Vision, Neural Networks, Deep Learning",Neural Networks
416,Data Science,CARscan,Work From Home,Work From Home,3,3000-5000,"Machine Learning, Computer Vision, Neural Networks, Deep Learning",Deep Learning
417,Machine Learning,Exam-Practice,Work From Home,Work From Home,2,10000-20000,"Machine Learning, Natural Language Processing (NLP), Deep Learning",Machine Learning
418,Machine Learning,Exam-Practice,Work From Home,Work From Home,2,10000-20000,"Machine Learning, Natural Language Processing (NLP), Deep Learning",Natural Language Processing (NLP)
419,Machine Learning,Exam-Practice,Work From Home,Work From Home,2,10000-20000,"Machine Learning, Natural Language Processing (NLP), Deep Learning",Deep Learning
420,Machine Learning,Pugalia Woollen Mills Private Limited,Work From Home,Work From Home,2,1000,Not Found,nan
421,Equity Research Analysis,Value Educator,Thane,Thane,6,2000,MS-Excel,MS-Excel
422,Business Analytics,KBA Systems,Ahmedabad,Ahmedabad,6,3000,"Search Engine Optimization (SEO), English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",Search Engine Optimization (SEO)
423,Business Analytics,KBA Systems,Ahmedabad,Ahmedabad,6,3000,"Search Engine Optimization (SEO), English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",English Proficiency (Spoken)
424,Business Analytics,KBA Systems,Ahmedabad,Ahmedabad,6,3000,"Search Engine Optimization (SEO), English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",English Proficiency (Written)
425,Business Analytics,KBA Systems,Ahmedabad,Ahmedabad,6,3000,"Search Engine Optimization (SEO), English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",Research and Analytics
426,Machine Learning,Pianalytix Edutech Private Limted,Work From Home,Work From Home,2,8000,"Machine Learning, Computer Vision, Data Science, Natural Language Processing (NLP), Deep Learning",Machine Learning
427,Machine Learning,Pianalytix Edutech Private Limted,Work From Home,Work From Home,2,8000,"Machine Learning, Computer Vision, Data Science, Natural Language Processing (NLP), Deep Learning",Computer Vision
428,Machine Learning,Pianalytix Edutech Private Limted,Work From Home,Work From Home,2,8000,"Machine Learning, Computer Vision, Data Science, Natural Language Processing (NLP), Deep Learning",Data Science
429,Machine Learning,Pianalytix Edutech Private Limted,Work From Home,Work From Home,2,8000,"Machine Learning, Computer Vision, Data Science, Natural Language Processing (NLP), Deep Learning",Natural Language Processing (NLP)
430,Machine Learning,Pianalytix Edutech Private Limted,Work From Home,Work From Home,2,8000,"Machine Learning, Computer Vision, Data Science, Natural Language Processing (NLP), Deep Learning",Deep Learning
431,Data Analytics,Cocoon Hospital,Jaipur,Jaipur,3,8000,"Data Analytics, Statistical Modeling",Data Analytics
432,Data Analytics,Cocoon Hospital,Jaipur,Jaipur,3,8000,"Data Analytics, Statistical Modeling",Statistical Modeling
433,Technology Consulting,RØMØ-TØNDER TURISTFORENING,Work From Home,Work From Home,6,7000-10000,"HTML, Adobe Photoshop, WordPress, Digital Marketing, Data Analytics, Client Relationship",HTML
434,Technology Consulting,RØMØ-TØNDER TURISTFORENING,Work From Home,Work From Home,6,7000-10000,"HTML, Adobe Photoshop, WordPress, Digital Marketing, Data Analytics, Client Relationship",Adobe Photoshop
435,Technology Consulting,RØMØ-TØNDER TURISTFORENING,Work From Home,Work From Home,6,7000-10000,"HTML, Adobe Photoshop, WordPress, Digital Marketing, Data Analytics, Client Relationship",WordPress
436,Technology Consulting,RØMØ-TØNDER TURISTFORENING,Work From Home,Work From Home,6,7000-10000,"HTML, Adobe Photoshop, WordPress, Digital Marketing, Data Analytics, Client Relationship",Digital Marketing
437,Technology Consulting,RØMØ-TØNDER TURISTFORENING,Work From Home,Work From Home,6,7000-10000,"HTML, Adobe Photoshop, WordPress, Digital Marketing, Data Analytics, Client Relationship",Data Analytics
438,Technology Consulting,RØMØ-TØNDER TURISTFORENING,Work From Home,Work From Home,6,7000-10000,"HTML, Adobe Photoshop, WordPress, Digital Marketing, Data Analytics, Client Relationship",Client Relationship
439,Financial Analysis,Qualicentric LLP,Delhi,Delhi,3,7000-10000,"MS-Office, MS-Word, MS-PowerPoint, MS-Excel, Financial Modeling, Report Writing",MS-Office
440,Financial Analysis,Qualicentric LLP,Delhi,Delhi,3,7000-10000,"MS-Office, MS-Word, MS-PowerPoint, MS-Excel, Financial Modeling, Report Writing",MS-Word
441,Financial Analysis,Qualicentric LLP,Delhi,Delhi,3,7000-10000,"MS-Office, MS-Word, MS-PowerPoint, MS-Excel, Financial Modeling, Report Writing",MS-PowerPoint
442,Financial Analysis,Qualicentric LLP,Delhi,Delhi,3,7000-10000,"MS-Office, MS-Word, MS-PowerPoint, MS-Excel, Financial Modeling, Report Writing",MS-Excel
443,Financial Analysis,Qualicentric LLP,Delhi,Delhi,3,7000-10000,"MS-Office, MS-Word, MS-PowerPoint, MS-Excel, Financial Modeling, Report Writing",Financial Modeling
444,Financial Analysis,Qualicentric LLP,Delhi,Delhi,3,7000-10000,"MS-Office, MS-Word, MS-PowerPoint, MS-Excel, Financial Modeling, Report Writing",Report Writing
445,Finance Research Analytics,Jatalia Finance Company,Delhi,Delhi,6,5000-8000,"MS-Office, MS-Excel",MS-Office
446,Finance Research Analytics,Jatalia Finance Company,Delhi,Delhi,6,5000-8000,"MS-Office, MS-Excel",MS-Excel
447,Data Annotation,Tika Data Services Private Limited,Bangalore,Bangalore,3,7000,"MS-Office, English Proficiency (Spoken)",MS-Office
448,Data Annotation,Tika Data Services Private Limited,Bangalore,Bangalore,3,7000,"MS-Office, English Proficiency (Spoken)",English Proficiency (Spoken)
449,Data Science & Machine Learning,INSAID,Work From Home,Work From Home,6,10000,"Python, Machine Learning, R Programming, Deep Learning, Power BI, Tableau",Python
450,Data Science & Machine Learning,INSAID,Work From Home,Work From Home,6,10000,"Python, Machine Learning, R Programming, Deep Learning, Power BI, Tableau",Machine Learning
451,Data Science & Machine Learning,INSAID,Work From Home,Work From Home,6,10000,"Python, Machine Learning, R Programming, Deep Learning, Power BI, Tableau",R Programming
452,Data Science & Machine Learning,INSAID,Work From Home,Work From Home,6,10000,"Python, Machine Learning, R Programming, Deep Learning, Power BI, Tableau",Deep Learning
453,Data Science & Machine Learning,INSAID,Work From Home,Work From Home,6,10000,"Python, Machine Learning, R Programming, Deep Learning, Power BI, Tableau",Power BI
454,Data Science & Machine Learning,INSAID,Work From Home,Work From Home,6,10000,"Python, Machine Learning, R Programming, Deep Learning, Power BI, Tableau",Tableau
455,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",Java
456,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",MATLAB
457,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",Python
458,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",MySQL
459,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",Statistical Modeling
460,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",Mathematics
461,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",Machine Learning
462,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",Data Science
463,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",C++ Programming
464,Quantitative Research,AR Quants,Work From Home,Work From Home,3,1500,"Java, MATLAB, Python, SQL, Statistical Modeling, Mathematics, Machine Learning, Data Science, C++ Programming, Deep Learning",Deep Learning
465,Python Development,Sujosu Technology,Pune,Pune,6,7000,"Python, Statistical Modeling, Machine Learning, Report Writing",Python
466,Python Development,Sujosu Technology,Pune,Pune,6,7000,"Python, Statistical Modeling, Machine Learning, Report Writing",Statistical Modeling
467,Python Development,Sujosu Technology,Pune,Pune,6,7000,"Python, Statistical Modeling, Machine Learning, Report Writing",Machine Learning
468,Python Development,Sujosu Technology,Pune,Pune,6,7000,"Python, Statistical Modeling, Machine Learning, Report Writing",Report Writing
469,Robotic Process Automation,Omnisys Solutions,Work From Home,Work From Home,3,7500,Not Found,nan
470,Database Annotation,Xane AI,Work From Home,Work From Home,3,1000-1500,Not Found,nan
471,Deep Learning,Triptam Labs,Gurgaon,Gurgaon,2,5000,"Python, Machine Learning, Data Science, Deep Learning",Python
472,Deep Learning,Triptam Labs,Gurgaon,Gurgaon,2,5000,"Python, Machine Learning, Data Science, Deep Learning",Machine Learning
473,Deep Learning,Triptam Labs,Gurgaon,Gurgaon,2,5000,"Python, Machine Learning, Data Science, Deep Learning",Data Science
474,Deep Learning,Triptam Labs,Gurgaon,Gurgaon,2,5000,"Python, Machine Learning, Data Science, Deep Learning",Deep Learning
475,Teaching (Machine Learning),AI Adventures,Pune,Pune,6,10000,"Python, Machine Learning, Data Science, Deep Learning",Python
476,Teaching (Machine Learning),AI Adventures,Pune,Pune,6,10000,"Python, Machine Learning, Data Science, Deep Learning",Machine Learning
477,Teaching (Machine Learning),AI Adventures,Pune,Pune,6,10000,"Python, Machine Learning, Data Science, Deep Learning",Data Science
478,Teaching (Machine Learning),AI Adventures,Pune,Pune,6,10000,"Python, Machine Learning, Data Science, Deep Learning",Deep Learning
479,Research Analysis,Rivan Solutions,Work From Home,Work From Home,6,1000-2000,MS-Excel,MS-Excel
480,Research & Development (AI/ML),Factiveminds Consulting Private Limited,Work From Home,Work From Home,3,2000,"Python, Microsoft Azure, Deep Learning, Google Cloud Computing",Python
481,Research & Development (AI/ML),Factiveminds Consulting Private Limited,Work From Home,Work From Home,3,2000,"Python, Microsoft Azure, Deep Learning, Google Cloud Computing",Microsoft Azure
482,Research & Development (AI/ML),Factiveminds Consulting Private Limited,Work From Home,Work From Home,3,2000,"Python, Microsoft Azure, Deep Learning, Google Cloud Computing",Deep Learning
483,Research & Development (AI/ML),Factiveminds Consulting Private Limited,Work From Home,Work From Home,3,2000,"Python, Microsoft Azure, Deep Learning, Google Cloud Computing",Google Cloud Computing
484,Machine Learning,Buddha Education Association Incorporation,Work From Home,Work From Home,1,6000,Not Found,nan
485,Machine Learning,The Crafty Talk,Work From Home,Work From Home,1,8700,"Java, Python, Machine Learning, Artifical Intelligence",Java
486,Machine Learning,The Crafty Talk,Work From Home,Work From Home,1,8700,"Java, Python, Machine Learning, Artifical Intelligence",Python
487,Machine Learning,The Crafty Talk,Work From Home,Work From Home,1,8700,"Java, Python, Machine Learning, Artifical Intelligence",Machine Learning
488,Machine Learning,The Crafty Talk,Work From Home,Work From Home,1,8700,"Java, Python, Machine Learning, Artifical Intelligence",Artifical Intelligence
489,Data Scrapper,Sterling Technolabs,Work From Home,Work From Home,3,2500-6000,Not Found,nan
490,Video Creation (Machine Learning),Code Wrestling,Work From Home,Work From Home,1,5000,"Python, Machine Learning, Data Science, Artifical Intelligence",Python
491,Video Creation (Machine Learning),Code Wrestling,Work From Home,Work From Home,1,5000,"Python, Machine Learning, Data Science, Artifical Intelligence",Machine Learning
492,Video Creation (Machine Learning),Code Wrestling,Work From Home,Work From Home,1,5000,"Python, Machine Learning, Data Science, Artifical Intelligence",Data Science
493,Video Creation (Machine Learning),Code Wrestling,Work From Home,Work From Home,1,5000,"Python, Machine Learning, Data Science, Artifical Intelligence",Artifical Intelligence
494,Data Analytics,Mr n Mrs Pet,Jaipur,Jaipur,6,10000,"Data Structures, Data Analytics, MS-Excel, Data Science",Data Structures
495,Data Analytics,Mr n Mrs Pet,Jaipur,Jaipur,6,10000,"Data Structures, Data Analytics, MS-Excel, Data Science",Data Analytics
496,Data Analytics,Mr n Mrs Pet,Jaipur,Jaipur,6,10000,"Data Structures, Data Analytics, MS-Excel, Data Science",MS-Excel
