id,Internship_title,Company,Location,Location_1,Duration(Months),Stipend_given(perMonth),Skills_required,Skills_required_1
52,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Data Analytics
53,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Statistical Modeling
54,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Statistical Modeling
55,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Machine Learning
56,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Machine Learning
57,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",MS-Excel
58,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",MS-Excel
59,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",NoSQL
60,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",NoSQL
61,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Deep Learning
62,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pimpri-Chinchwad,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",Deep Learning
